title,description,link,type
2025 Fuel Economy Guides,Provides consumers with reliable information on the fuel efficiency and environmental impact of new vehicles to help them make informed purchase decisions.,https://www.slcl.org/resources/2025-fuel-economy,Website
24/7 Missouri (Helping Business Navigate Government),"Portal of resources and links for starting, managing and growing a business in Missouri.",https://www.slcl.org/resources/24-7-missouri,Website
A to Z Food America,"Learn about America's culinary heritage through cookbooks, food commercials and how-to videos.",https://www.slcl.org/resources/a-to-z-food-america,Subscription Database
A to Z Maps Online,Access and download proprietary maps and maps from other reputable sources.,https://www.slcl.org/resources/a-to-z-maps-online,Subscription Database
A to Z the USA,"Explore the country as a whole, or research a specific state or one of five US territories.",https://www.slcl.org/resources/a-to-z-the-usa,Subscription Database
A to Z World Food,"Easily find traditional recipes from 174 countries as well as interesting information about etiquette, food history, food trivia and more.",https://www.slcl.org/resources/a-to-z-world-food,Subscription Database
A to Z World Travel,A comprehensive travel resource containing 202 Travel Guides.,https://www.slcl.org/resources/a-to-z-world-travel,Subscription Database
A-Z Index of U.S. Government Departments and Agencies,Provides access to Federal agency Websites based on agency entries in the U.S. Government Manual.,https://www.slcl.org/resources/a-to-z-us-government-departments-agencies,Website
AAS Historical Periodicals Collection,Digital access to the most comprehensive collection of American periodicals published between 1684 and 1912.,https://www.slcl.org/resources/aas-historical-periodicals-collection,Subscription Database
ABCmouse (In Library Only),"Access award winning, self-guided lessons across a variety of subjects for students in Pre-K through 2nd grade.",https://www.slcl.org/resources/abcmouse-in-library-only,Subscription Database
ABCmouse Home Access,"Designed to help children ages 2-8+ with more than 10,000 learning activities across all major subject areas, including STEM and in Spanish.",https://www.slcl.org/resources/abcmouse,Subscription Database
Academic Search Elite,"Full text coverage of scholarly journals in the areas of social science, humanities, general science, multi-cultural studies, education, and more. [EBSCO]",https://www.slcl.org/resources/academic-search-elite,Subscription Database
Access World News,"Searchable full text and indexing of many U.S. and international newspapers, including print and online-only resources.",https://www.slcl.org/resources/access-world-news,Subscription Database
Activities for ESL Students,"Browse through links of resources, which include games, grammar, idioms and slang, listening, reading, vocabulary, and more.",https://www.slcl.org/resources/activities-for-esl-students,Website
African American Newspapers: 19th Century,Primary source material providing insight into the cultural life and history during the first half of the 1800s.,https://www.slcl.org/resources/african-american-newspapers,Subscription Database
African-American Music of the United States (1830-1920),"This collection is a grouping of approximately 1,400 items dating from the 1830s to the 1920s.",https://www.slcl.org/resources/african-american-music-of-the-united-states,Website
Agatha Awards,"Honors new ""traditional mysteries"" in the vein of Agatha Christie and other classic mystery writers.",https://www.slcl.org/resources/agatha-awards,Website
ALLDATA (In Library Only),Repair information for foreign and domestic cars and trucks manufactured from 1982 to the present.,https://www.slcl.org/resources/alldata,Subscription Database
American Ancestors (Available in History & Genealogy only - see librarian),"Access more than 400 million U.S. and foreign records, including an extensive online collection of early American records.",https://www.slcl.org/resources/american-ancestors,Subscription Database
American Cancer Society,"Comprehensive source of cancer information, including news, treatment and research.",https://www.slcl.org/resources/american-cancer-society,Website
American State Papers (Library of Congress),"Digitized version of legislative and executive documents issued by Congress, 1789 – 1838.",https://www.slcl.org/resources/american-state-papers,Website
Ancestry Library Edition,Get access to a large number of databases of interest to genealogists and historians. In library use only.,https://www.slcl.org/resources/ancestry-library-edition,Subscription Database
Archion (Available in History & Genealogy only - see librarian),"Access to a growing collection of digitized records of baptisms, confirmations, marriages and burials for Protestant churches in Germany.",https://www.slcl.org/resources/archion,Subscription Database
Archives of Sexuality & Gender,Access primary sources and materials relating to LGBTQ history and culture since 1940. [Gale Primary Sources],https://www.slcl.org/resources/archives-of-sexuality-gender,Subscription Database
Asian Life in America,"A collection of primary source documents about the histories and daily lives of Americans of Asian and Pacific Islander heritage—including those of Chinese, Filipino, Japanese, Korean, South Asian, and Vietnamese backgrounds, among others.",https://www.slcl.org/resources/asian-life-america,Subscription Database
Auto Repair Source,Find service and repair information for thousands of domestic and imported vehicles.,https://www.slcl.org/resources/auto-repair-source,Subscription Database
Barron's,"Barron's is a leading source of financial news, providing in-depth analysis and commentary on stocks, investments and how markets are moving across the world.",https://www.slcl.org/resources/barrons,Subscription Database
Belleville News-Democrat Collection,"Explore Belleville history through local news, events and people with Belleville News-Democrat Collection. [Newsbank]",https://www.slcl.org/resources/belleville-news-democrat-collection,Subscription Database
Ben's Guide to the U.S. Government,Educational content on the workings of the U.S. Government and U.S. history with a focus on civics.,https://www.slcl.org/resources/bens-guide-to-the-us-government,Website
Ben's Guide to the U.S. Government for Kids,Teaches kids how the U.S. government works.,https://www.slcl.org/resources/bens-guide-to-the-us-government-kids,Website
BiblioBoard,"Features content curated by our librarians and partner organizations, and resources submitted by local creatives.",https://www.slcl.org/resources/biblioboard,
Biography Channel,Features short biographies on some of history’s most famous people.,https://www.slcl.org/resources/biography-channel,Website
Biography Reference Source,Covers people in the news and a full range of history-makers. [EBSCO],https://www.slcl.org/resources/biography-reference-source,Subscription Database
Biology for Kids,Quick reference information on hundreds of animals.,https://www.slcl.org/resources/biology-for-kids,Website
Black Freedom Struggle in the United States,"Contains approximately 1,600 documents focused on six different phases of Black Freedom.",https://www.slcl.org/resources/black-freedom-struggle-in-the-united-states,Subscription Database
Black Life in America,Provides comprehensive news coverage of the African American experience from 1704 to the present.,https://www.slcl.org/resources/black-life-america,Subscription Database
Book Reporter,"Solve your “what to read” dilemma with book reviews, author profiles and interviews, and excerpts from new releases.",https://www.slcl.org/resources/book-reporter,Website
Brainfuse HelpNow,"Brainfuse HelpNow connects students in grades K-12 with live tutors in a safe and secure online classroom. Students can access academic tutoring, homework help and test prep assistance.",https://www.slcl.org/resources/brainfuse-helpnow,
Brainfuse JobNow,"Provides support for individuals on the job market, including live career coaches and Optimal Resume.",https://www.slcl.org/resources/brainfuse-jobnow,Subscription Database
Brainfuse VetNow,"Support for veterans and their families with navigating the VA bureaucracy, providing academic tutoring, and employment transition assistance.",https://www.slcl.org/resources/brainfuse-vetnow,Subscription Database
Bram Stoker Awards,The Horror Writer's Association presents the annual Bram Stoker Awards for Superior Achievement.,https://www.slcl.org/resources/bram-stoker-awards,Website
Budget of the United States Government,"Issued by the Office of Management and Budget (OMB), the Budget of the United States Government is a collection of documents that contains the budget message of the President, information about the President's budget proposals for a given fiscal year, and other budgetary publications.  (1996-present)",https://www.slcl.org/resources/budget-of-the-united-states-government,Website
Bureau of Economic Analysis,"Provides access to national, regional, industry and international economic accounts.",https://www.slcl.org/resources/bureau-of-economic-analysis,Website
Business Source Complete,"Full-text coverage of business, management and economic journals and periodicals.",https://www.slcl.org/resources/business-source-complete,Subscription Database
Cambini Quintets,A set of unique manuscripts by Italian composer Giuseppe Maria Gioacchino Cambini that contain music for over 100 of his string quintets.,https://www.slcl.org/resources/cambini-quintets,Website
Candid Learning,Free resource for online education on various grant and grant writing topics for nonprofit organizations.,https://www.slcl.org/resources/candid-learning,Website
Catalog of U.S. Government Publications,A keyword searchable catalog of materials published by the Federal government from 1976 to the present.,https://www.slcl.org/resources/catalog-of-us-government-publications,Subscription Database
Child Well-Being Resource Ecosystem Map - St. Louis Region,The map depicts resources dedicated to children's education both inside and outside of the classroom.,https://www.slcl.org/resources/child-well-being-resource-ecosystem-map-st-louis-region,Website
CIA World Factbook,"Provides detailed demographic, economic, and social information on countries of the world. Data also includes flags and maps.",https://www.slcl.org/resources/cia-world-factbook,Website
Citizenshipworks,"Helping people going through the naturalization process. Find questions on the application, fees, documentation, and more.",https://www.slcl.org/resources/citizenshipworks,Website
"City of St. Louis Collector of Revenue, Earnings Tax Department",Tax forms and city tax codes in relation to the payroll and earnings taxes due to the City of St. Louis.,https://www.slcl.org/resources/st-louis-city-earnings-tax-department,Website
Civil Rights and Social Justice,Diverse offering of publications covering civil rights in the United States as their legal protections and definitions are expanded to cover more and more Americans. [HeinOnline],https://www.slcl.org/resources/civil-rights-and-social-justice,Subscription Database
Civil War Soldiers and Sailors System,"Includes name index for Civil War soldiers and sailors, histories of Union and Confederate regiments, and battles of the war. [National Park Service]",https://www.slcl.org/resources/nps-civil-war-soldiers-and-sailors-system,Website
Civil War: A Newspaper Perspective,"A searchable collection of articles published in the Charleston Mercury, The New York Herald, and The Richmond Enquirer between November 1860-April 1865.",https://www.slcl.org/resources/civil-war-newspaper-perspective,Subscription Database
CK-12,"Provides a library of free online textbooks, videos, exercises, flashcards, and real world applications for over 5000 concepts from arithmetic to photography. Good for elementary through high school.",https://www.slcl.org/resources/ck-12,Website
