title,description,link,type
A to Z Food America,"Learn about America's culinary heritage through cookbooks, food commercials and how-to videos.",https://www.slcl.org/resources/a-to-z-food-america,Subscription Database
A to Z Maps Online,Access and download proprietary maps and maps from other reputable sources.,https://www.slcl.org/resources/a-to-z-maps-online,Subscription Database
A to Z the USA,"Explore the country as a whole, or research a specific state or one of five US territories.",https://www.slcl.org/resources/a-to-z-the-usa,Subscription Database
A to Z World Food,"Easily find traditional recipes from 174 countries as well as interesting information about etiquette, food history, food trivia and more.",https://www.slcl.org/resources/a-to-z-world-food,Subscription Database
A to Z World Travel,A comprehensive travel resource containing 202 Travel Guides.,https://www.slcl.org/resources/a-to-z-world-travel,Subscription Database
AAS Historical Periodicals Collection,Digital access to the most comprehensive collection of American periodicals published between 1684 and 1912.,https://www.slcl.org/resources/aas-historical-periodicals-collection,Subscription Database
ABCmouse (In Library Only),"Access award winning, self-guided lessons across a variety of subjects for students in Pre-K through 2nd grade.",https://www.slcl.org/resources/abcmouse-in-library-only,Subscription Database
ABCmouse Home Access,"Designed to help children ages 2-8+ with more than 10,000 learning activities across all major subject areas, including STEM and in Spanish.",https://www.slcl.org/resources/abcmouse,Subscription Database
Academic Search Elite,"Full text coverage of scholarly journals in the areas of social science, humanities, general science, multi-cultural studies, education, and more. [EBSCO]",https://www.slcl.org/resources/academic-search-elite,Subscription Database
Access World News,"Searchable full text and indexing of many U.S. and international newspapers, including print and online-only resources.",https://www.slcl.org/resources/access-world-news,Subscription Database
African American Newspapers: 19th Century,Primary source material providing insight into the cultural life and history during the first half of the 1800s.,https://www.slcl.org/resources/african-american-newspapers,Subscription Database
ALLDATA (In Library Only),Repair information for foreign and domestic cars and trucks manufactured from 1982 to the present.,https://www.slcl.org/resources/alldata,Subscription Database
American Ancestors (Available in History & Genealogy only - see librarian),"Access more than 400 million U.S. and foreign records, including an extensive online collection of early American records.",https://www.slcl.org/resources/american-ancestors,Subscription Database
Ancestry Library Edition,Get access to a large number of databases of interest to genealogists and historians. In library use only.,https://www.slcl.org/resources/ancestry-library-edition,Subscription Database
Archion (Available in History & Genealogy only - see librarian),"Access to a growing collection of digitized records of baptisms, confirmations, marriages and burials for Protestant churches in Germany.",https://www.slcl.org/resources/archion,Subscription Database
Archives of Sexuality & Gender,Access primary sources and materials relating to LGBTQ history and culture since 1940. [Gale Primary Sources],https://www.slcl.org/resources/archives-of-sexuality-gender,Subscription Database
Asian Life in America,"A collection of primary source documents about the histories and daily lives of Americans of Asian and Pacific Islander heritage—including those of Chinese, Filipino, Japanese, Korean, South Asian, and Vietnamese backgrounds, among others.",https://www.slcl.org/resources/asian-life-america,Subscription Database
Auto Repair Source,Find service and repair information for thousands of domestic and imported vehicles.,https://www.slcl.org/resources/auto-repair-source,Subscription Database
Barron's,"Barron's is a leading source of financial news, providing in-depth analysis and commentary on stocks, investments and how markets are moving across the world.",https://www.slcl.org/resources/barrons,Subscription Database
Belleville News-Democrat Collection,"Explore Belleville history through local news, events and people with Belleville News-Democrat Collection. [Newsbank]",https://www.slcl.org/resources/belleville-news-democrat-collection,Subscription Database
Biography Reference Source,Covers people in the news and a full range of history-makers. [EBSCO],https://www.slcl.org/resources/biography-reference-source,Subscription Database
Black Freedom Struggle in the United States,"Contains approximately 1,600 documents focused on six different phases of Black Freedom.",https://www.slcl.org/resources/black-freedom-struggle-in-the-united-states,Subscription Database
Black Life in America,Provides comprehensive news coverage of the African American experience from 1704 to the present.,https://www.slcl.org/resources/black-life-america,Subscription Database
Brainfuse JobNow,"Provides support for individuals on the job market, including live career coaches and Optimal Resume.",https://www.slcl.org/resources/brainfuse-jobnow,Subscription Database
Brainfuse VetNow,"Support for veterans and their families with navigating the VA bureaucracy, providing academic tutoring, and employment transition assistance.",https://www.slcl.org/resources/brainfuse-vetnow,Subscription Database
Business Source Complete,"Full-text coverage of business, management and economic journals and periodicals.",https://www.slcl.org/resources/business-source-complete,Subscription Database
Catalog of U.S. Government Publications,A keyword searchable catalog of materials published by the Federal government from 1976 to the present.,https://www.slcl.org/resources/catalog-of-us-government-publications,Subscription Database
Civil Rights and Social Justice,Diverse offering of publications covering civil rights in the United States as their legal protections and definitions are expanded to cover more and more Americans. [HeinOnline],https://www.slcl.org/resources/civil-rights-and-social-justice,Subscription Database
Civil War: A Newspaper Perspective,"A searchable collection of articles published in the Charleston Mercury, The New York Herald, and The Richmond Enquirer between November 1860-April 1865.",https://www.slcl.org/resources/civil-war-newspaper-perspective,Subscription Database
Columbia Daily Tribune,Access the Columbia Daily Tribune back to 1998 in text or view the current image edition.  [Newsbank],https://www.slcl.org/resources/columbia-daily-tribune,Subscription Database
Computer Skills Center,"Find video lessons on many Microsoft products including Windows 7/10, Microsoft OneDrive, Microsoft Office 365 apps and several versions of Word, Excel, Access, and others.  [Learning Express Library]",https://www.slcl.org/resources/computer-skills-center,Subscription Database
Consumer Health Complete,"Covers all key areas of health and wellness, from mainstream medicine to the many perspectives of complementary and holistic medicine.",https://www.slcl.org/resources/consumer-health-complete,Subscription Database
Consumer Reports,Access full-text articles (1991 to present) from Consumer Reports. [MasterFILE Premier/EBSCO],https://www.slcl.org/resources/consumer-reports,Subscription Database
Consumer Reports Buying Guides,Access full-text articles from 1999 to present from Consumer Reports Buying Guides. [MasterFILE Premier/EBSCO],https://www.slcl.org/resources/consumer-reports-buying-guides,Subscription Database
Culinary Arts Collection,"Includes major cooking and nutrition magazines. Coverage includes thousands of searchable recipes, restaurant reviews, and industry information.",https://www.slcl.org/resources/culinary-arts-collection,Subscription Database
D&B Hoovers,Offers in-depth financial comparisons and analysis of over 85 million public and private companies.,https://www.slcl.org/resources/db-hoovers,Subscription Database
D&B Key Business Ratios,"Provides 14 key business ratios covering solvency, efficiency, and profitability over a three-year period.",https://www.slcl.org/resources/db-key-business-ratios,Subscription Database
Digital Literacy,Empowers learners in grade levels 7-12 with digital citizenship skills through interactive activities and articles.,https://www.slcl.org/resources/digital-literacy,Subscription Database
EBSCOhost Web,"Gateway access to general interest, health care, and children's magazine databases.",https://www.slcl.org/resources/ebscohost-web,Subscription Database
Enciclopedia Estudiantil Hallazgos,Spanish language version of World Book's Student Discovery Encyclopedia.,https://www.slcl.org/resources/enciclopedia-estudiantil-hallazgos,Subscription Database
ERIC,ERIC (Education Resources Information Center) is a freely available Web database made up of education-related reports and journal articles published from 1966 to the present. Free and accessible anywhere.,https://www.slcl.org/resources/eric,Subscription Database
Explora - Educators Edition,"Find more than 2100 full text scholarly journals and over 1700 peer-reviewed, full-text journals. Collection provides focus on education by providing full text for over 500 high-quality educational journals.  [EBSCO]",https://www.slcl.org/resources/explora-educators-edition,Subscription Database
Explora - Elementary,Designed specifically for elementary school students according to their needs and search abilities. Includes topic overview that provide students with a starting point for research and top videos from the Associated Press. [EBSCO],https://www.slcl.org/resources/explora-elementary,Subscription Database
Explora - General Research and eBooks,Designed specifically for general research in a public library. Includes topic overviews that provide a starting point for research and top videos from the Associated Press. [EBSCO],https://www.slcl.org/resources/explora-general-research-and-ebooks,Subscription Database
Explora - High School,Designed specifically for middle school and high school students according to their needs and search abilities. Includes topic overviews that provide students with a starting point for research and top videos from the Associated Press. [EBSCO],https://www.slcl.org/resources/explora-high-school,Subscription Database
Fiction Core Collections,"Includes Children's Core Collection, Graphic Novels Core Collection, Middle and Junior High Core Collection, Fiction Core Collection, Public Library Core Collection: Nonfiction, and Senior High Core Collection; created with the input of librarians, each catalog is a guide to thousands of books, plus review sources and other professional aids for librarians and school media specialists.  [H.W. Wilson]",https://www.slcl.org/resources/fiction-core-collection,Subscription Database
Financial Literacy,"Database makes economics and personal finance easy to understand and highly engaging. Articles explore macro-, micro- and global economics as well as personal and household finance. Beneficial for grades 7-12 as well as adults.",https://www.slcl.org/resources/financial-literacy,Subscription Database
Findmypast (In Library Use Only),"Findmypast offers searchable databases for censuses of the British Isles; civil, military, and church records; newspapers, and more. Coverage includes records for the U.S., Great Britain, Ireland, Canada, Australia, and New Zealand.",https://www.slcl.org/resources/findmypast,Subscription Database
Fire Insurance Maps Online (FIMo),"Find high definition, color fire insurance maps, real estate atlases, plat books, and other historical maps for Missouri and Illinois.",https://www.slcl.org/resources/fire-insurance-maps-online,Subscription Database
First Research,Access to First Research 500+ industry reports are now located in D&B Hoovers.,https://www.slcl.org/resources/first-research,Subscription Database
FirstSearch,Provides access to MOGroupCatalog and WorldCat.,https://www.slcl.org/resources/firstsearch,Subscription Database
Fold3®,"Provides convenient access to US military records, including the stories, photos and personal documents of the men and women who served. Library card required to use.",https://www.slcl.org/resources/fold3,Subscription Database
Foundation Directory Online (In Library Use Only),"Access detailed information on grant makers, grants, and grant recipients, as well as access to grant maker web sites and searchable 990s.",https://www.slcl.org/resources/foundation-directory-online,Subscription Database
Funk & Wagnalls New World Encyclopedia,"Indexes over 25,000 full-text encyclopedic records covering an array of subject areas.",https://www.slcl.org/resources/funk-wagnalls-new-world-encyclopedia,Subscription Database
Gale Business: Entrepreneurship,"Covers starting and operating a business, includes business journals and a wide selection of sample business plans.",https://www.slcl.org/resources/gale-business-entrepreneurship,Subscription Database
Gale Collections,"Access all the Gale databases the Library currently subscribes to, such as, Gale OneFile and Gale In Context databases.",https://www.slcl.org/resources/gale-collections,Subscription Database
Gale Directory Library,"A digital platform that lets users access directories of companies, organizations, publications, people, products, and more.",https://www.slcl.org/resources/gale-directory-library,Subscription Database
